timestamp,scenario,pid,cpu_percent,rss_kb,vsz_kb,elapsed
2026-09-01T17:37:48+0700,Soak,69486,0.0,68224,436214272,00:03
2026-09-01T17:37:49+0700,Soak,69486,0.0,68224,436214272,00:04
2026-09-01T17:37:50+0700,Soak,69486,1.5,69456,436214272,00:05
2026-09-01T17:37:51+0700,Soak,69486,1.7,69760,436218368,00:06
2026-09-01T17:37:52+0700,Soak,69486,2.2,70144,436218624,00:07
2026-09-01T17:37:53+0700,Soak,69486,1.5,70800,436219136,00:08
2026-09-01T17:37:54+0700,Soak,69486,2.0,72400,436220672,00:09
2026-09-01T17:37:55+0700,Soak,69486,3.8,73008,436220672,00:10
2026-09-01T17:37:56+0700,Soak,69486,3.7,73104,436220672,00:11
2026-09-01T17:37:57+0700,Soak,69486,3.9,73296,436220672,00:12
2026-09-01T17:37:58+0700,Soak,69486,3.3,73520,436220672,00:13
2026-09-01T17:37:59+0700,Soak,69486,2.7,72480,436219392,00:14
2026-09-01T17:38:00+0700,Soak,69486,4.0,74432,436220976,00:15
2026-09-01T17:38:01+0700,Soak,69486,7.1,74560,436220976,00:16
2026-09-01T17:38:02+0700,Soak,69486,4.5,74688,436220976,00:17
2026-09-01T17:38:03+0700,Soak,69486,5.6,74704,436220976,00:18
2026-09-01T17:38:04+0700,Soak,69486,4.4,68448,436220976,00:19
2026-09-01T17:38:05+0700,Soak,69486,4.6,68848,436220976,00:20
2026-09-01T17:38:06+0700,Soak,69486,6.3,69216,436220976,00:21
2026-09-01T17:38:07+0700,Soak,69486,4.2,70768,436222000,00:22
2026-09-01T17:38:08+0700,Soak,69486,7.5,74544,436223792,00:24
2026-09-01T17:38:10+0700,Soak,69486,7.1,75648,436224560,00:25
2026-09-01T17:38:11+0700,Soak,69486,7.7,78896,436227632,00:26
2026-09-01T17:38:12+0700,Soak,69486,5.5,79904,436227888,00:27
2026-09-01T17:38:13+0700,Soak,69486,4.7,81264,436228656,00:28
2026-09-01T17:38:14+0700,Soak,69486,8.0,81840,436228656,00:29
2026-09-01T17:38:15+0700,Soak,69486,7.2,81904,436228656,00:30
2026-09-01T17:38:16+0700,Soak,69486,9.5,82272,436228656,00:31
2026-09-01T17:38:17+0700,Soak,69486,10.3,82288,436228656,00:32
2026-09-01T17:38:18+0700,Soak,69486,8.7,82416,436228656,00:33
2026-09-01T17:38:19+0700,Soak,69486,12.1,82272,436228656,00:34
2026-09-01T17:38:20+0700,Soak,69486,11.9,83136,436228656,00:35
2026-09-01T17:38:21+0700,Soak,69486,9.8,86096,436231472,00:36
2026-09-01T17:38:22+0700,Soak,69486,9.6,86128,436231472,00:37
2026-09-01T17:38:23+0700,Soak,69486,10.2,88944,436234288,00:38
2026-09-01T17:38:24+0700,Soak,69486,10.6,91840,436237104,00:39
2026-09-01T17:38:25+0700,Soak,69486,6.9,93312,436238640,00:40
2026-09-01T17:38:26+0700,Soak,69486,10.7,93824,436239152,00:41
2026-09-01T17:38:27+0700,Soak,69486,8.5,94336,436239152,00:42
2026-09-01T17:38:28+0700,Soak,69486,10.4,96384,436240688,00:43
2026-09-01T17:38:29+0700,Soak,69486,7.5,96832,436240688,00:44
2026-09-01T17:38:30+0700,Soak,69486,9.9,97376,436240688,00:45
2026-09-01T17:38:31+0700,Soak,69486,9.5,99552,436242992,00:46
2026-09-01T17:38:32+0700,Soak,69486,8.8,99968,436242992,00:47
2026-09-01T17:38:33+0700,Soak,69486,10.9,100176,436242992,00:48
2026-09-01T17:38:34+0700,Soak,69486,18.3,102704,436244784,00:49
2026-09-01T17:38:35+0700,Soak,69486,4.8,102704,436244784,00:50
2026-09-01T17:38:36+0700,Soak,69486,8.4,102720,436244784,00:51
2026-09-01T17:38:37+0700,Soak,69486,7.8,102752,436244784,00:52
2026-09-01T17:38:38+0700,Soak,69486,7.1,102656,436244784,00:53
2026-09-01T17:38:39+0700,Soak,69486,8.4,102784,436244784,00:54
2026-09-01T17:38:40+0700,Soak,69486,9.6,104720,436246832,00:55
2026-09-01T17:38:41+0700,Soak,69486,8.5,107680,436249648,00:56
2026-09-01T17:38:42+0700,Soak,69486,6.9,110624,436252464,00:57
