timestamp,scenario,pid,cpu_percent,rss_kb,vsz_kb,elapsed
2026-09-01T18:11:36+0700,Soak,73952,0.0,69264,436214288,00:03
2026-09-01T18:11:37+0700,Soak,73952,0.0,69264,436214288,00:04
2026-09-01T18:11:38+0700,Soak,73952,0.9,70288,436214288,00:05
2026-09-01T18:11:39+0700,Soak,73952,0.9,70608,436214288,00:06
2026-09-01T18:11:40+0700,Soak,73952,1.2,59504,436218384,00:07
2026-09-01T18:11:41+0700,Soak,73952,1.7,60192,436218896,00:08
2026-09-01T18:11:42+0700,Soak,73952,2.0,61168,436219408,00:09
2026-09-01T18:11:43+0700,Soak,73952,2.7,64736,436220688,00:10
2026-09-01T18:11:44+0700,Soak,73952,3.6,65824,436220688,00:11
2026-09-01T18:11:45+0700,Soak,73952,3.1,66096,436220688,00:12
2026-09-01T18:11:46+0700,Soak,73952,3.9,66336,436220688,00:13
2026-09-01T18:11:47+0700,Soak,73952,3.2,66592,436219152,00:14
2026-09-01T18:11:48+0700,Soak,73952,4.2,68896,436219200,00:15
2026-09-01T18:11:49+0700,Soak,73952,6.7,68912,436219200,00:16
2026-09-01T18:11:50+0700,Soak,73952,5.1,69056,436219200,00:17
2026-09-01T18:11:51+0700,Soak,73952,6.5,69600,436219456,00:18
2026-09-01T18:11:52+0700,Soak,73952,5.5,70016,436219968,00:19
2026-09-01T18:11:53+0700,Soak,73952,7.0,70304,436220224,00:20
2026-09-01T18:11:54+0700,Soak,73952,5.7,70592,436220224,00:21
2026-09-01T18:11:55+0700,Soak,73952,4.0,71152,436220480,00:22
2026-09-01T18:11:56+0700,Soak,73952,2.8,76464,436222016,00:23
2026-09-01T18:11:57+0700,Soak,73952,5.4,78496,436224320,00:24
2026-09-01T18:11:58+0700,Soak,73952,7.8,80496,436225856,00:25
2026-09-01T18:11:59+0700,Soak,73952,8.5,83088,436228160,00:26
2026-09-01T18:12:00+0700,Soak,73952,9.0,83472,436228160,00:27
2026-09-01T18:12:01+0700,Soak,73952,6.6,83536,436228160,00:28
2026-09-01T18:12:02+0700,Soak,73952,6.9,83584,436228160,00:29
2026-09-01T18:12:03+0700,Soak,73952,9.0,83648,436228160,00:30
2026-09-01T18:12:04+0700,Soak,73952,3.4,83648,436228160,00:31
2026-09-01T18:12:05+0700,Soak,73952,9.9,83712,436228160,00:32
2026-09-01T18:12:06+0700,Soak,73952,10.0,84000,436228160,00:33
2026-09-01T18:12:07+0700,Soak,73952,8.6,84000,436228160,00:34
2026-09-01T18:12:08+0700,Soak,73952,8.1,85808,436229184,00:35
2026-09-01T18:12:09+0700,Soak,73952,8.5,89104,436232256,00:36
2026-09-01T18:12:10+0700,Soak,73952,9.0,89184,436232256,00:37
2026-09-01T18:12:12+0700,Soak,73952,8.9,91936,436234816,00:39
2026-09-01T18:12:13+0700,Soak,73952,7.7,95120,436237888,00:40
2026-09-01T18:12:14+0700,Soak,73952,8.4,95536,436238656,00:41
2026-09-01T18:12:15+0700,Soak,73952,5.6,95952,436238656,00:42
2026-09-01T18:12:16+0700,Soak,73952,13.2,96464,436238656,00:43
2026-09-01T18:12:17+0700,Soak,73952,7.9,98480,436240448,00:44
2026-09-01T18:12:18+0700,Soak,73952,6.8,98944,436240448,00:45
2026-09-01T18:12:19+0700,Soak,73952,9.1,99472,436240448,00:46
2026-09-01T18:12:20+0700,Soak,73952,10.9,101776,436241984,00:47
2026-09-01T18:12:21+0700,Soak,73952,11.8,102112,436241984,00:48
2026-09-01T18:12:22+0700,Soak,73952,10.5,102656,436241984,00:49
2026-09-01T18:12:23+0700,Soak,73952,7.1,105184,436244544,00:50
2026-09-01T18:12:24+0700,Soak,73952,11.7,105200,436244544,00:51
2026-09-01T18:12:25+0700,Soak,73952,11.4,104880,436244544,00:52
2026-09-01T18:12:26+0700,Soak,73952,11.5,104896,436244544,00:53
2026-09-01T18:12:27+0700,Soak,73952,11.1,104912,436244544,00:54
2026-09-01T18:12:28+0700,Soak,73952,8.4,105824,436244544,00:55
2026-09-01T18:12:29+0700,Soak,73952,5.9,104848,436244544,00:56
2026-09-01T18:12:30+0700,Soak,73952,7.3,107600,436247104,00:57
2026-09-01T18:12:31+0700,Soak,73952,10.7,110624,436249920,00:58
2026-09-01T18:12:32+0700,Soak,73952,8.0,111712,436250944,00:59
2026-09-01T18:12:33+0700,Soak,73952,7.2,111728,436250944,01:00
2026-09-01T18:12:34+0700,Soak,73952,9.7,112768,436251968,01:01
2026-09-01T18:12:35+0700,Soak,73952,10.7,115504,436254784,01:02
2026-09-01T18:12:36+0700,Soak,73952,9.7,118240,436257344,01:03
2026-09-01T18:12:37+0700,Soak,73952,10.3,121056,436260160,01:04
2026-09-01T18:12:38+0700,Soak,73952,15.9,125088,436264512,01:05
2026-09-01T18:12:39+0700,Soak,73952,9.0,125104,436264512,01:06
2026-09-01T18:12:40+0700,Soak,73952,10.5,125040,436264512,01:07
2026-09-01T18:12:41+0700,Soak,73952,9.9,125552,436264512,01:08
2026-09-01T18:12:42+0700,Soak,73952,7.9,126048,436264512,01:09
2026-09-01T18:12:43+0700,Soak,73952,8.3,126496,436264512,01:10
2026-09-01T18:12:44+0700,Soak,73952,4.5,126992,436264512,01:11
2026-09-01T18:12:45+0700,Soak,73952,22.3,131440,436268352,01:12
2026-09-01T18:12:46+0700,Soak,73952,10.7,131440,436268352,01:13
2026-09-01T18:12:47+0700,Soak,73952,8.6,131488,436268352,01:14
2026-09-01T18:12:48+0700,Soak,73952,10.4,131488,436268352,01:15
2026-09-01T18:12:49+0700,Soak,73952,11.6,131488,436268352,01:16
2026-09-01T18:12:50+0700,Soak,73952,11.3,131488,436268352,01:17
2026-09-01T18:12:51+0700,Soak,73952,8.9,130608,436268352,01:18
2026-09-01T18:12:52+0700,Soak,73952,8.7,128368,436268352,01:19
2026-09-01T18:12:53+0700,Soak,73952,7.1,128496,436268352,01:20
2026-09-01T18:12:54+0700,Soak,73952,8.7,128736,436268352,01:21
2026-09-01T18:12:55+0700,Soak,73952,2.7,128736,436268352,01:22
2026-09-01T18:12:56+0700,Soak,73952,11.6,128800,436268352,01:23
2026-09-01T18:12:57+0700,Soak,73952,6.0,129072,436268352,01:24
2026-09-01T18:12:58+0700,Soak,73952,4.3,128176,436268352,01:25
2026-09-01T18:12:59+0700,Soak,73952,10.5,127824,436268352,01:26
2026-09-01T18:13:00+0700,Soak,73952,10.9,130016,436268352,01:27
2026-09-01T18:13:01+0700,Soak,73952,10.9,127968,436264512,01:28
2026-09-01T18:13:03+0700,Soak,73952,10.1,127968,436264512,01:30
2026-09-01T18:13:04+0700,Soak,73952,9.1,127984,436264512,01:31
2026-09-01T18:13:05+0700,Soak,73952,9.7,127568,436264512,01:32
2026-09-01T18:13:06+0700,Soak,73952,11.5,127568,436264512,01:33
2026-09-01T18:13:07+0700,Soak,73952,8.1,127408,436264512,01:34
2026-09-01T18:13:08+0700,Soak,73952,6.2,127392,436264512,01:35
2026-09-01T18:13:09+0700,Soak,73952,11.6,127408,436264512,01:36
2026-09-01T18:13:10+0700,Soak,73952,10.4,128384,436265536,01:37
2026-09-01T18:13:11+0700,Soak,73952,5.4,130928,436267840,01:38
2026-09-01T18:13:12+0700,Soak,73952,9.3,130928,436267840,01:39
2026-09-01T18:13:13+0700,Soak,73952,12.0,130944,436267840,01:40
2026-09-01T18:13:14+0700,Soak,73952,6.5,129216,436267840,01:41
2026-09-01T18:13:15+0700,Soak,73952,8.5,121584,436267840,01:42
2026-09-01T18:13:16+0700,Soak,73952,10.9,121696,436267840,01:43
2026-09-01T18:13:17+0700,Soak,73952,9.5,121792,436267840,01:44
2026-09-01T18:13:18+0700,Soak,73952,9.8,124208,436270144,01:45
2026-09-01T18:13:19+0700,Soak,73952,12.2,129472,436271936,01:46
2026-09-01T18:13:20+0700,Soak,73952,10.4,129488,436271936,01:47
2026-09-01T18:13:21+0700,Soak,73952,9.9,129664,436271936,01:48
2026-09-01T18:13:22+0700,Soak,73952,9.6,129776,436271936,01:49
2026-09-01T18:13:23+0700,Soak,73952,8.7,129920,436271936,01:50
2026-09-01T18:13:24+0700,Soak,73952,9.4,130432,436271936,01:51
2026-09-01T18:13:25+0700,Soak,73952,8.0,131056,436271936,01:52
2026-09-01T18:13:26+0700,Soak,73952,8.4,132496,436271936,01:53
2026-09-01T18:13:27+0700,Soak,73952,9.5,139680,436276032,01:54
2026-09-01T18:13:28+0700,Soak,73952,12.3,139360,436276032,01:55
2026-09-01T18:13:29+0700,Soak,73952,8.5,139104,436276032,01:56
2026-09-01T18:13:30+0700,Soak,73952,12.0,139120,436276032,01:57
2026-09-01T18:13:31+0700,Soak,73952,9.8,139104,436276032,01:58
2026-09-01T18:13:32+0700,Soak,73952,9.7,135216,436276032,01:59
2026-09-01T18:13:33+0700,Soak,73952,12.0,133216,436276032,02:00
2026-09-01T18:13:34+0700,Soak,73952,5.4,133264,436276032,02:01
2026-09-01T18:13:35+0700,Soak,73952,11.0,133296,436276032,02:02
2026-09-01T18:13:36+0700,Soak,73952,9.2,133328,436276032,02:03
2026-09-01T18:13:37+0700,Soak,73952,9.6,132368,436272192,02:04
2026-09-01T18:13:38+0700,Soak,73952,9.6,132400,436272192,02:05
2026-09-01T18:13:39+0700,Soak,73952,9.3,132400,436272192,02:06
2026-09-01T18:13:40+0700,Soak,73952,10.4,128608,436272192,02:07
2026-09-01T18:13:41+0700,Soak,73952,10.9,128736,436272192,02:08
2026-09-01T18:13:42+0700,Soak,73952,9.0,128832,436272192,02:09
2026-09-01T18:13:43+0700,Soak,73952,11.6,129152,436272192,02:10
2026-09-01T18:13:44+0700,Soak,73952,13.1,131008,436272192,02:11
2026-09-01T18:13:45+0700,Soak,73952,11.3,132688,436272192,02:12
2026-09-01T18:13:46+0700,Soak,73952,12.8,132768,436272192,02:13
2026-09-01T18:13:47+0700,Soak,73952,11.2,132928,436272192,02:14
2026-09-01T18:13:48+0700,Soak,73952,10.2,133056,436272192,02:15
2026-09-01T18:13:50+0700,Soak,73952,13.0,133248,436272192,02:17
2026-09-01T18:13:51+0700,Soak,73952,8.7,133344,436272192,02:18
2026-09-01T18:13:52+0700,Soak,73952,8.3,133424,436272192,02:19
2026-09-01T18:13:53+0700,Soak,73952,10.7,133648,436272192,02:20
2026-09-01T18:13:54+0700,Soak,73952,10.7,138672,436276544,02:21
2026-09-01T18:13:55+0700,Soak,73952,9.3,138688,436276544,02:22
2026-09-01T18:13:56+0700,Soak,73952,11.5,138736,436276544,02:23
2026-09-01T18:13:57+0700,Soak,73952,11.7,138736,436276544,02:24
2026-09-01T18:13:58+0700,Soak,73952,12.3,138736,436276544,02:25
2026-09-01T18:13:59+0700,Soak,73952,5.3,138736,436276544,02:26
2026-09-01T18:14:00+0700,Soak,73952,8.1,138752,436276544,02:27
2026-09-01T18:14:01+0700,Soak,73952,10.5,138720,436276544,02:28
2026-09-01T18:14:02+0700,Soak,73952,10.2,138672,436276544,02:29
2026-09-01T18:14:03+0700,Soak,73952,12.3,138608,436276544,02:30
2026-09-01T18:14:04+0700,Soak,73952,9.4,138640,436276544,02:31
2026-09-01T18:14:05+0700,Soak,73952,7.6,138656,436276544,02:32
2026-09-01T18:14:06+0700,Soak,73952,13.6,139152,436276544,02:33
2026-09-01T18:14:07+0700,Soak,73952,11.6,139152,436276544,02:34
2026-09-01T18:14:08+0700,Soak,73952,9.6,139136,436276544,02:35
2026-09-01T18:14:09+0700,Soak,73952,10.4,139136,436276544,02:36
2026-09-01T18:14:10+0700,Soak,73952,12.2,138224,436276544,02:37
2026-09-01T18:14:11+0700,Soak,73952,10.4,138160,436276544,02:38
2026-09-01T18:14:12+0700,Soak,73952,9.6,126512,436273472,02:39
2026-09-01T18:14:13+0700,Soak,73952,12.1,127248,436273472,02:40
2026-09-01T18:14:14+0700,Soak,73952,9.7,127856,436273472,02:41
